file,type,dataset,source_id,n_samples,n_features_or_columns
data/processed/main_benchmark/vehicle_seed3_processed.csv,main_processed,vehicle,,846,10
data/raw/main_benchmark/cmc_seed3.csv,main_raw,cmc,,1473,9
data/processed/main_benchmark/cmc_seed3_processed.csv,main_processed,cmc,,1473,9
data/raw/main_benchmark/wdbc_seed3.csv,main_raw,wdbc,,569,30
data/processed/main_benchmark/wdbc_seed3_processed.csv,main_processed,wdbc,,569,10
data/raw/main_benchmark/iris_seed7.csv,main_raw,iris,,150,4
data/processed/main_benchmark/iris_seed7_processed.csv,main_processed,iris,,150,4
data/raw/main_benchmark/wine_seed7.csv,main_raw,wine,,178,13
data/processed/main_benchmark/wine_seed7_processed.csv,main_processed,wine,,178,10
data/raw/main_benchmark/breast_cancer_seed7.csv,main_raw,breast_cancer,,569,30
data/processed/main_benchmark/breast_cancer_seed7_processed.csv,main_processed,breast_cancer,,569,10
data/raw/main_benchmark/digits_0_4_seed7.csv,main_raw,digits_0_4,,901,64
data/processed/main_benchmark/digits_0_4_seed7_processed.csv,main_processed,digits_0_4,,901,10
data/raw/main_benchmark/two_moons_seed7.csv,main_raw,two_moons,,500,2
data/processed/main_benchmark/two_moons_seed7_processed.csv,main_processed,two_moons,,500,2
data/raw/main_benchmark/circles_seed7.csv,main_raw,circles,,500,2
data/processed/main_benchmark/circles_seed7_processed.csv,main_processed,circles,,500,2
data/raw/main_benchmark/noisy_moons_seed7.csv,main_raw,noisy_moons,,500,2
data/processed/main_benchmark/noisy_moons_seed7_processed.csv,main_processed,noisy_moons,,500,2
data/raw/main_benchmark/noisy_circles_seed7.csv,main_raw,noisy_circles,,500,2
data/processed/main_benchmark/noisy_circles_seed7_processed.csv,main_processed,noisy_circles,,500,2
data/raw/main_benchmark/varied_density_seed7.csv,main_raw,varied_density,,500,2
data/processed/main_benchmark/varied_density_seed7_processed.csv,main_processed,varied_density,,500,2
data/raw/main_benchmark/anisotropic_blobs_seed7.csv,main_raw,anisotropic_blobs,,500,2
data/processed/main_benchmark/anisotropic_blobs_seed7_processed.csv,main_processed,anisotropic_blobs,,500,2
data/raw/main_benchmark/ecoli_seed7.csv,main_raw,ecoli,,336,7
data/processed/main_benchmark/ecoli_seed7_processed.csv,main_processed,ecoli,,336,7
data/raw/main_benchmark/glass_seed7.csv,main_raw,glass,,214,9
data/processed/main_benchmark/glass_seed7_processed.csv,main_processed,glass,,214,9
data/raw/main_benchmark/vehicle_seed7.csv,main_raw,vehicle,,846,18
data/processed/main_benchmark/vehicle_seed7_processed.csv,main_processed,vehicle,,846,10
data/raw/main_benchmark/cmc_seed7.csv,main_raw,cmc,,1473,9
data/processed/main_benchmark/cmc_seed7_processed.csv,main_processed,cmc,,1473,9
data/raw/main_benchmark/wdbc_seed7.csv,main_raw,wdbc,,569,30
data/processed/main_benchmark/wdbc_seed7_processed.csv,main_processed,wdbc,,569,10
data/raw/main_benchmark/iris_seed11.csv,main_raw,iris,,150,4
data/processed/main_benchmark/iris_seed11_processed.csv,main_processed,iris,,150,4
data/raw/main_benchmark/wine_seed11.csv,main_raw,wine,,178,13
data/processed/main_benchmark/wine_seed11_processed.csv,main_processed,wine,,178,10
data/raw/main_benchmark/breast_cancer_seed11.csv,main_raw,breast_cancer,,569,30
data/processed/main_benchmark/breast_cancer_seed11_processed.csv,main_processed,breast_cancer,,569,10
data/raw/main_benchmark/digits_0_4_seed11.csv,main_raw,digits_0_4,,901,64
data/processed/main_benchmark/digits_0_4_seed11_processed.csv,main_processed,digits_0_4,,901,10
data/raw/main_benchmark/two_moons_seed11.csv,main_raw,two_moons,,500,2
data/processed/main_benchmark/two_moons_seed11_processed.csv,main_processed,two_moons,,500,2
data/raw/main_benchmark/circles_seed11.csv,main_raw,circles,,500,2
data/processed/main_benchmark/circles_seed11_processed.csv,main_processed,circles,,500,2
data/raw/main_benchmark/noisy_moons_seed11.csv,main_raw,noisy_moons,,500,2
data/processed/main_benchmark/noisy_moons_seed11_processed.csv,main_processed,noisy_moons,,500,2
data/raw/main_benchmark/noisy_circles_seed11.csv,main_raw,noisy_circles,,500,2
data/processed/main_benchmark/noisy_circles_seed11_processed.csv,main_processed,noisy_circles,,500,2
data/raw/main_benchmark/varied_density_seed11.csv,main_raw,varied_density,,500,2
data/processed/main_benchmark/varied_density_seed11_processed.csv,main_processed,varied_density,,500,2
data/raw/main_benchmark/anisotropic_blobs_seed11.csv,main_raw,anisotropic_blobs,,500,2
data/processed/main_benchmark/anisotropic_blobs_seed11_processed.csv,main_processed,anisotropic_blobs,,500,2
data/raw/main_benchmark/ecoli_seed11.csv,main_raw,ecoli,,336,7
data/processed/main_benchmark/ecoli_seed11_processed.csv,main_processed,ecoli,,336,7
data/raw/main_benchmark/glass_seed11.csv,main_raw,glass,,214,9
data/processed/main_benchmark/glass_seed11_processed.csv,main_processed,glass,,214,9
data/raw/main_benchmark/vehicle_seed11.csv,main_raw,vehicle,,846,18
data/processed/main_benchmark/vehicle_seed11_processed.csv,main_processed,vehicle,,846,10
data/raw/main_benchmark/cmc_seed11.csv,main_raw,cmc,,1473,9
data/processed/main_benchmark/cmc_seed11_processed.csv,main_processed,cmc,,1473,9
data/raw/main_benchmark/wdbc_seed11.csv,main_raw,wdbc,,569,30
data/processed/main_benchmark/wdbc_seed11_processed.csv,main_processed,wdbc,,569,10
data/raw/main_benchmark/iris_seed19.csv,main_raw,iris,,150,4
data/processed/main_benchmark/iris_seed19_processed.csv,main_processed,iris,,150,4
data/raw/main_benchmark/wine_seed19.csv,main_raw,wine,,178,13
data/processed/main_benchmark/wine_seed19_processed.csv,main_processed,wine,,178,10
data/raw/main_benchmark/breast_cancer_seed19.csv,main_raw,breast_cancer,,569,30
data/processed/main_benchmark/breast_cancer_seed19_processed.csv,main_processed,breast_cancer,,569,10
data/raw/main_benchmark/digits_0_4_seed19.csv,main_raw,digits_0_4,,901,64
data/processed/main_benchmark/digits_0_4_seed19_processed.csv,main_processed,digits_0_4,,901,10
data/raw/main_benchmark/two_moons_seed19.csv,main_raw,two_moons,,500,2
data/processed/main_benchmark/two_moons_seed19_processed.csv,main_processed,two_moons,,500,2
data/raw/main_benchmark/circles_seed19.csv,main_raw,circles,,500,2
data/processed/main_benchmark/circles_seed19_processed.csv,main_processed,circles,,500,2
data/raw/main_benchmark/noisy_moons_seed19.csv,main_raw,noisy_moons,,500,2
data/processed/main_benchmark/noisy_moons_seed19_processed.csv,main_processed,noisy_moons,,500,2
data/raw/main_benchmark/noisy_circles_seed19.csv,main_raw,noisy_circles,,500,2
data/processed/main_benchmark/noisy_circles_seed19_processed.csv,main_processed,noisy_circles,,500,2
data/raw/main_benchmark/varied_density_seed19.csv,main_raw,varied_density,,500,2
data/processed/main_benchmark/varied_density_seed19_processed.csv,main_processed,varied_density,,500,2
data/raw/main_benchmark/anisotropic_blobs_seed19.csv,main_raw,anisotropic_blobs,,500,2
data/processed/main_benchmark/anisotropic_blobs_seed19_processed.csv,main_processed,anisotropic_blobs,,500,2
data/raw/main_benchmark/ecoli_seed19.csv,main_raw,ecoli,,336,7
data/processed/main_benchmark/ecoli_seed19_processed.csv,main_processed,ecoli,,336,7
data/raw/main_benchmark/glass_seed19.csv,main_raw,glass,,214,9
data/processed/main_benchmark/glass_seed19_processed.csv,main_processed,glass,,214,9
data/raw/main_benchmark/vehicle_seed19.csv,main_raw,vehicle,,846,18
data/processed/main_benchmark/vehicle_seed19_processed.csv,main_processed,vehicle,,846,10
data/raw/main_benchmark/cmc_seed19.csv,main_raw,cmc,,1473,9
data/processed/main_benchmark/cmc_seed19_processed.csv,main_processed,cmc,,1473,9
data/raw/main_benchmark/wdbc_seed19.csv,main_raw,wdbc,,569,30
data/processed/main_benchmark/wdbc_seed19_processed.csv,main_processed,wdbc,,569,10
data/raw/main_benchmark/iris_seed23.csv,main_raw,iris,,150,4
data/processed/main_benchmark/iris_seed23_processed.csv,main_processed,iris,,150,4
data/raw/main_benchmark/wine_seed23.csv,main_raw,wine,,178,13
data/processed/main_benchmark/wine_seed23_processed.csv,main_processed,wine,,178,10
data/raw/main_benchmark/breast_cancer_seed23.csv,main_raw,breast_cancer,,569,30
data/processed/main_benchmark/breast_cancer_seed23_processed.csv,main_processed,breast_cancer,,569,10
data/raw/main_benchmark/digits_0_4_seed23.csv,main_raw,digits_0_4,,901,64
data/processed/main_benchmark/digits_0_4_seed23_processed.csv,main_processed,digits_0_4,,901,10
data/raw/main_benchmark/two_moons_seed23.csv,main_raw,two_moons,,500,2
data/processed/main_benchmark/two_moons_seed23_processed.csv,main_processed,two_moons,,500,2
data/raw/main_benchmark/circles_seed23.csv,main_raw,circles,,500,2
data/processed/main_benchmark/circles_seed23_processed.csv,main_processed,circles,,500,2
data/raw/main_benchmark/noisy_moons_seed23.csv,main_raw,noisy_moons,,500,2
data/processed/main_benchmark/noisy_moons_seed23_processed.csv,main_processed,noisy_moons,,500,2
data/raw/main_benchmark/noisy_circles_seed23.csv,main_raw,noisy_circles,,500,2
data/processed/main_benchmark/noisy_circles_seed23_processed.csv,main_processed,noisy_circles,,500,2
data/raw/main_benchmark/varied_density_seed23.csv,main_raw,varied_density,,500,2
data/processed/main_benchmark/varied_density_seed23_processed.csv,main_processed,varied_density,,500,2
data/raw/main_benchmark/anisotropic_blobs_seed23.csv,main_raw,anisotropic_blobs,,500,2
data/processed/main_benchmark/anisotropic_blobs_seed23_processed.csv,main_processed,anisotropic_blobs,,500,2
data/raw/main_benchmark/ecoli_seed23.csv,main_raw,ecoli,,336,7
data/processed/main_benchmark/ecoli_seed23_processed.csv,main_processed,ecoli,,336,7
data/raw/main_benchmark/glass_seed23.csv,main_raw,glass,,214,9
data/processed/main_benchmark/glass_seed23_processed.csv,main_processed,glass,,214,9
data/raw/main_benchmark/vehicle_seed23.csv,main_raw,vehicle,,846,18
data/processed/main_benchmark/vehicle_seed23_processed.csv,main_processed,vehicle,,846,10
data/raw/main_benchmark/cmc_seed23.csv,main_raw,cmc,,1473,9
data/processed/main_benchmark/cmc_seed23_processed.csv,main_processed,cmc,,1473,9
data/raw/main_benchmark/wdbc_seed23.csv,main_raw,wdbc,,569,30
data/processed/main_benchmark/wdbc_seed23_processed.csv,main_processed,wdbc,,569,10
data/raw/openml/openml_40966_MiceProtein.csv,openml_raw,openml_40966_MiceProtein,40966,1080,78
data/raw/openml/openml_45090_Leukemia.csv,openml_raw,openml_45090_Leukemia,45090,72,7130
data/raw/openml/openml_45091_Leukemia-3.csv,openml_raw,openml_45091_Leukemia-3,45091,72,7130
data/raw/openml/openml_45094_Lymphoma-3.csv,openml_raw,openml_45094_Lymphoma-3,45094,66,4027
data/raw/openml/openml_31_credit-g.csv,openml_raw,openml_31_credit-g,31,1000,21
data/raw/openml/openml_37_diabetes.csv,openml_raw,openml_37_diabetes,37,768,9
data/raw/openml/openml_54_vehicle.csv,openml_raw,openml_54_vehicle,54,846,19
data/raw/openml/openml_1464_blood-transfusion-service-center.csv,openml_raw,openml_1464_blood-transfusion-service-center,1464,748,5
data/processed/external_real_benchmark/MiceProtein_8class_processed.csv,external_processed,MiceProtein_8class,40966,1080,12
data/processed/external_real_benchmark/MiceProtein_genotype_processed.csv,external_processed,MiceProtein_genotype,40966,1080,12
data/processed/external_real_benchmark/MiceProtein_behavior_processed.csv,external_processed,MiceProtein_behavior,40966,1080,12
data/processed/external_real_benchmark/MiceProtein_treatment_processed.csv,external_processed,MiceProtein_treatment,40966,1080,12
data/processed/external_real_benchmark/Leukemia_2class_processed.csv,external_processed,Leukemia_2class,45090,72,12
data/processed/external_real_benchmark/Leukemia_3class_processed.csv,external_processed,Leukemia_3class,45091,72,12
data/processed/external_real_benchmark/Lymphoma_3class_processed.csv,external_processed,Lymphoma_3class,45094,66,12
data/processed/external_real_benchmark/credit-g_processed.csv,external_processed,credit-g,31,1000,12
data/processed/external_real_benchmark/diabetes_processed.csv,external_processed,diabetes,37,768,8
data/processed/external_real_benchmark/vehicle_processed.csv,external_processed,vehicle,54,846,12
data/processed/external_real_benchmark/blood-transfusion_processed.csv,external_processed,blood-transfusion,1464,748,4
